Ticket_ID,Subject,Description,Category,Priority
TKT-00282,My credit card was billed $500 instead of $50. This is urgen...,"My credit card was billed $500 instead of $50. This is urgent, please fix now! Hi team, ",Billing,High
TKT-00283,Urgent: I changed my email and now I can't verify my identit...,Urgent: I changed my email and now I can't verify my identity.,Account Access,Medium
TKT-00284,Our contract expires tomorrow and we haven't received the re...,Our contract expires tomorrow and we haven't received the renewal terms yet. Hoping someone can assist. ,General Inquiry,High
TKT-00285,We are evaluating your product for a 5000-seat enterprise de...,We are evaluating your product for a 5000-seat enterprise deal. Need info ASAP. Looking forward to a quick resolution. ,General Inquiry,High
TKT-00286,Unauthorized login detected from a foreign IP. Lock my accou...,Unauthorized login detected from a foreign IP. Lock my account immediately.,Account Access,High
TKT-00287,"By the way, Critical data loss after the latest update. We n...","By the way, Critical data loss after the latest update. We need recovery immediately. Looking forward to a quick resolution. ",Technical,High
TKT-00288,The SLA breach count has exceeded the threshold. Requesting ...,The SLA breach count has exceeded the threshold. Requesting formal review.,General Inquiry,High
TKT-00289,Our automated pipeline is failing because your API endpoint ...,Our automated pipeline is failing because your API endpoint is unreachable. Please note: ,Technical,High
TKT-00290,Push notifications are delayed by several hours on the mobil...,Push notifications are delayed by several hours on the mobile app.,Technical,Medium
TKT-00291,"Dear support, File uploads fail silently when the file size ...","Dear support, File uploads fail silently when the file size exceeds 10 MB.",Technical,Medium
TKT-00292,This is really frustrating. What payment methods do you acce...,This is really frustrating. What payment methods do you accept besides credit cards? Thanks in advance. ,Billing,Low
TKT-00293,We've been waiting for days. What is the process for submitt...,We've been waiting for days. What is the process for submitting a feature request?,General Inquiry,Medium
TKT-00294,My account has been locked and I cannot reset my password. N...,"My account has been locked and I cannot reset my password. Need access now! Hello, ",Account Access,High
TKT-00295,Executive sponsor wants a migration timeline document before...,Executive sponsor wants a migration timeline document before signing the PO.,General Inquiry,High
TKT-00296,"Also, Account suspended without explanation. I have a client...","Also, Account suspended without explanation. I have a client demo in one hour!",Account Access,High
TKT-00297,What happens to my data if I miss a payment cycle?,What happens to my data if I miss a payment cycle?,Billing,Low
TKT-00298,Why was I charged a different amount than what's shown on th...,Why was I charged a different amount than what's shown on the pricing page? Appreciate your help. ,Billing,Medium
TKT-00299,Urgent: Someone changed my email address on file. I think my...,Urgent: Someone changed my email address on file. I think my account was hacked.,Account Access,High
TKT-00300,Security vulnerability found. Sensitive customer data may be...,Security vulnerability found. Sensitive customer data may be exposed. Looking forward to a quick resolution. ,Technical,High
TKT-00301,Need a copy of my invoice from last quarter for tax purposes...,Need a copy of my invoice from last quarter for tax purposes.,Billing,Medium
TKT-00302,FYI — Are there any upcoming webinars or online events we ca...,FYI — Are there any upcoming webinars or online events we can join? FYI — ,General Inquiry,Low
TKT-00303,Regulatory audit requires compliance documentation by end of...,Regulatory audit requires compliance documentation by end of day. Please expedite.,General Inquiry,High
TKT-00304,What happens to my data if I miss a payment cycle?,What happens to my data if I miss a payment cycle?,Billing,Low
TKT-00305,The SLA breach count has exceeded the threshold. Requesting ...,The SLA breach count has exceeded the threshold. Requesting formal review.,General Inquiry,High
TKT-00306,What is the process for submitting a feature request?,What is the process for submitting a feature request?,General Inquiry,Medium
TKT-00307,"Dear support, What happens to my data if I miss a payment cy...","Dear support, What happens to my data if I miss a payment cycle?",Billing,Low
TKT-00308,"By the way, The dashboard loads very slowly — takes over 30 ...","By the way, The dashboard loads very slowly — takes over 30 seconds every time.",Technical,Medium
TKT-00309,We've been waiting for days. I forgot my password and the re...,We've been waiting for days. I forgot my password and the reset email goes to an old address. Looking forward to a quick resolution. ,Account Access,Medium
TKT-00310,Why was I charged a different amount than what's shown on th...,Why was I charged a different amount than what's shown on the pricing page?,Billing,Medium
TKT-00311,Just wanted to say thanks — the new update is really smooth!,Just wanted to say thanks — the new update is really smooth!,General Inquiry,Low
TKT-00312,"Dear support, Is there an API rate-limit increase available ...","Dear support, Is there an API rate-limit increase available for our current plan?",General Inquiry,Medium
TKT-00313,Please prioritize this. Subscription auto-renewed after I ex...,Please prioritize this. Subscription auto-renewed after I explicitly opted out. Refund required urgently.,Billing,High
TKT-00314,Where can I find your community forum or user group? Please ...,Where can I find your community forum or user group? Please note: ,General Inquiry,Low
TKT-00315,Where can I read your terms of service and privacy policy?,Where can I read your terms of service and privacy policy?,General Inquiry,Low
TKT-00316,Please prioritize this. Regulatory audit requires compliance...,"Please prioritize this. Regulatory audit requires compliance documentation by end of day. Please expedite. Hi team, ",General Inquiry,High
TKT-00317,Is there a way to change the default font size in the dashbo...,Is there a way to change the default font size in the dashboard?,Technical,Low
TKT-00318,Looking forward to a quick resolution. The discount I was pr...,Looking forward to a quick resolution. The discount I was promised during sign-up isn't reflected on my bill.,Billing,Medium
TKT-00319,Appreciate your help. Search functionality returns irrelevan...,Appreciate your help. Search functionality returns irrelevant results for exact-match queries.,Technical,Medium
TKT-00320,Would love an option to customize the color theme of the int...,Would love an option to customize the color theme of the interface.,Technical,Low
TKT-00321,I'm completely locked out after too many failed login attemp...,I'm completely locked out after too many failed login attempts. Please unlock.,Account Access,High
TKT-00322,Reports show incorrect date ranges when timezone is set to U...,Reports show incorrect date ranges when timezone is set to UTC.,Technical,Medium
TKT-00323,Where can I download old receipts from my account?,Where can I download old receipts from my account?,Billing,Low
TKT-00324,FYI — Is there a way to change the default font size in the ...,FYI — Is there a way to change the default font size in the dashboard?,Technical,Low
TKT-00325,FYI — The on-boarding tooltip covers the submit button on sm...,FYI — The on-boarding tooltip covers the submit button on smaller screens. Urgent: ,Technical,Low
TKT-00326,Can you explain the extra fee on my latest invoice?,Can you explain the extra fee on my latest invoice?,Billing,Medium
TKT-00327,Regulatory audit requires compliance documentation by end of...,Regulatory audit requires compliance documentation by end of day. Please expedite. FYI — ,General Inquiry,High
TKT-00328,Are there any upcoming webinars or online events we can join...,"Are there any upcoming webinars or online events we can join? Hello, ",General Inquiry,Low
TKT-00329,Is there an API rate-limit increase available for our curren...,Is there an API rate-limit increase available for our current plan?,General Inquiry,Medium
TKT-00330,Please note: Where can I read your terms of service and priv...,Please note: Where can I read your terms of service and privacy policy?,General Inquiry,Low
TKT-00331,Appreciate your help. Can you merge my two accounts into a s...,Appreciate your help. Can you merge my two accounts into a single one?,Account Access,Medium
TKT-00332,"My session keeps expiring every few minutes, forcing me to r...","My session keeps expiring every few minutes, forcing me to re-login.",Account Access,Medium
TKT-00333,I'm completely locked out after too many failed login attemp...,I'm completely locked out after too many failed login attempts. Please unlock.,Account Access,High
TKT-00334,"Dear support, Can I get a breakdown of charges for the last ...","Dear support, Can I get a breakdown of charges for the last six months?",Billing,Low
TKT-00335,Can I change the display name shown on my profile?,Can I change the display name shown on my profile?,Account Access,Low
TKT-00336,FYI — How do I update the payment method on file to a new cr...,FYI — How do I update the payment method on file to a new credit card? Please prioritize this. ,Billing,Medium
TKT-00337,How do I view my login history for security review? Please p...,How do I view my login history for security review? Please prioritize this. ,Account Access,Low
TKT-00338,Database sync is corrupted and none of our records are loadi...,Database sync is corrupted and none of our records are loading properly.,Technical,High
TKT-00339,"Hello, My account has been locked and I cannot reset my pass...","Hello, My account has been locked and I cannot reset my password. Need access now! By the way, ",Account Access,High
TKT-00340,Please prioritize this. The mobile app icon looks blurry on ...,Please prioritize this. The mobile app icon looks blurry on high-resolution screens. This is really frustrating. ,Technical,Low
TKT-00341,What is the process for submitting a feature request? Urgent...,What is the process for submitting a feature request? Urgent: ,General Inquiry,Medium
TKT-00342,I need to transfer ownership of this account to a colleague.,I need to transfer ownership of this account to a colleague.,Account Access,Medium
TKT-00343,We are evaluating your product for a 5000-seat enterprise de...,We are evaluating your product for a 5000-seat enterprise deal. Need info ASAP. Please note: ,General Inquiry,High
TKT-00344,Urgent: How do I set up automatic payments for my subscripti...,"Urgent: How do I set up automatic payments for my subscription? By the way, ",Billing,Low
TKT-00345,I cancelled my plan last week but was still charged the full...,I cancelled my plan last week but was still charged the full annual fee today.,Billing,High
TKT-00346,Please prioritize this. How do I enable two-factor authentic...,Please prioritize this. How do I enable two-factor authentication for my account?,Account Access,Medium
TKT-00347,Where can I find my account ID or customer number?,Where can I find my account ID or customer number?,Account Access,Low
TKT-00348,"Also, Are there any upcoming webinars or online events we ca...","Also, Are there any upcoming webinars or online events we can join?",General Inquiry,Low
TKT-00349,Looking forward to a quick resolution. Our automated pipelin...,"Looking forward to a quick resolution. Our automated pipeline is failing because your API endpoint is unreachable. Hello, ",Technical,High
TKT-00350,"Dear support, Can you explain the extra fee on my latest inv...","Dear support, Can you explain the extra fee on my latest invoice? Hi team, ",Billing,Medium
TKT-00351,Would love an option to customize the color theme of the int...,Would love an option to customize the color theme of the interface.,Technical,Low
TKT-00352,Looking forward to a quick resolution. The discount I was pr...,Looking forward to a quick resolution. The discount I was promised during sign-up isn't reflected on my bill.,Billing,Medium
TKT-00353,"Hello, Legal team requires your updated data processing agre...","Hello, Legal team requires your updated data processing agreement within 24 hours.",General Inquiry,High
TKT-00354,We'd like to schedule a training session for our new team me...,We'd like to schedule a training session for our new team members.,General Inquiry,Medium
TKT-00355,Where can I read your terms of service and privacy policy?,Where can I read your terms of service and privacy policy?,General Inquiry,Low
TKT-00356,Please note: I want to downgrade my plan. Will I receive a p...,Please note: I want to downgrade my plan. Will I receive a prorated refund? Please note: ,Billing,Medium
TKT-00357,Duplicate billing on invoice #98321. Escalate this immediate...,Duplicate billing on invoice #98321. Escalate this immediately.,Billing,High
TKT-00358,Hoping someone can assist. Where do I manage email notificat...,Hoping someone can assist. Where do I manage email notification preferences?,Account Access,Low
TKT-00359,File uploads fail silently when the file size exceeds 10 MB....,File uploads fail silently when the file size exceeds 10 MB. Looking forward to a quick resolution. ,Technical,Medium
TKT-00360,"Hello, Would love an option to customize the color theme of ...","Hello, Would love an option to customize the color theme of the interface.",Technical,Low
TKT-00361,Unauthorized login detected from a foreign IP. Lock my accou...,Unauthorized login detected from a foreign IP. Lock my account immediately.,Account Access,High
TKT-00362,What happens to my data if I miss a payment cycle?,What happens to my data if I miss a payment cycle?,Billing,Low
TKT-00363,What are the password complexity requirements?,What are the password complexity requirements?,Account Access,Low
TKT-00364,Why was I charged a different amount than what's shown on th...,Why was I charged a different amount than what's shown on the pricing page?,Billing,Medium
TKT-00365,"By the way, What are the password complexity requirements?","By the way, What are the password complexity requirements?",Account Access,Low
TKT-00366,The drag-and-drop feature stopped working in the latest Chro...,The drag-and-drop feature stopped working in the latest Chrome update.,Technical,Medium
TKT-00367,"Also, What happens to my data if I miss a payment cycle?","Also, What happens to my data if I miss a payment cycle?",Billing,Low
TKT-00368,Hoping someone can assist. Can you add an option to sort tic...,Hoping someone can assist. Can you add an option to sort tickets by creation date in ascending order?,Technical,Low
TKT-00369,Hoping someone can assist. Why was I charged a different amo...,Hoping someone can assist. Why was I charged a different amount than what's shown on the pricing page?,Billing,Medium
TKT-00370,Appreciate your help. Just wondering when the next billing c...,Appreciate your help. Just wondering when the next billing cycle starts.,Billing,Low
TKT-00371,Please note: I forgot my password and the reset email goes t...,Please note: I forgot my password and the reset email goes to an old address.,Account Access,Medium
TKT-00372,Appreciate your help. Minor typo on the settings page: 'Noti...,Appreciate your help. Minor typo on the settings page: 'Notifcations' instead of 'Notifications'. FYI — ,Technical,Low
TKT-00373,Do you have case studies from companies in the healthcare se...,Do you have case studies from companies in the healthcare sector?,General Inquiry,Medium
TKT-00374,My promo code didn't apply at checkout. Can someone look int...,My promo code didn't apply at checkout. Can someone look into this?,Billing,Medium
TKT-00375,"By the way, Where can I find the latest product documentatio...","By the way, Where can I find the latest product documentation and release notes? FYI — ",General Inquiry,Medium
TKT-00376,How do I add a new team member to our company account? Hopin...,How do I add a new team member to our company account? Hoping someone can assist. ,Account Access,Medium
TKT-00377,Appreciate your help. Two-factor authentication emails are a...,Appreciate your help. Two-factor authentication emails are arriving with a 15-minute delay. Please prioritize this. ,Technical,Medium
TKT-00378,We've been waiting for days. Can you merge my two accounts i...,We've been waiting for days. Can you merge my two accounts into a single one? FYI — ,Account Access,Medium
TKT-00379,Where can I read your terms of service and privacy policy?,Where can I read your terms of service and privacy policy?,General Inquiry,Low
TKT-00380,Minor typo on the settings page: 'Notifcations' instead of '...,Minor typo on the settings page: 'Notifcations' instead of 'Notifications'.,Technical,Low
TKT-00381,The drag-and-drop feature stopped working in the latest Chro...,The drag-and-drop feature stopped working in the latest Chrome update.,Technical,Medium
TKT-00382,Are there any upcoming webinars or online events we can join...,Are there any upcoming webinars or online events we can join?,General Inquiry,Low
TKT-00383,Need a copy of my invoice from last quarter for tax purposes...,"Need a copy of my invoice from last quarter for tax purposes. Dear support, ",Billing,Medium
TKT-00384,Duplicate billing on invoice #98321. Escalate this immediate...,Duplicate billing on invoice #98321. Escalate this immediately.,Billing,High
TKT-00385,How do I view my login history for security review? Urgent: ,How do I view my login history for security review? Urgent: ,Account Access,Low
TKT-00386,Unauthorized login detected from a foreign IP. Lock my accou...,Unauthorized login detected from a foreign IP. Lock my account immediately.,Account Access,High
TKT-00387,"Hello, Our contract expires tomorrow and we haven't received...","Hello, Our contract expires tomorrow and we haven't received the renewal terms yet.",General Inquiry,High
TKT-00388,I can log in on mobile but the web app says my credentials a...,I can log in on mobile but the web app says my credentials are invalid.,Account Access,Medium
TKT-00389,How do I view my login history for security review? Thanks i...,How do I view my login history for security review? Thanks in advance. ,Account Access,Low
TKT-00390,My credit card was billed $500 instead of $50. This is urgen...,"My credit card was billed $500 instead of $50. This is urgent, please fix now!",Billing,High
TKT-00391,Do you offer any nonprofit pricing or special plans? Thanks ...,Do you offer any nonprofit pricing or special plans? Thanks in advance. ,Billing,Low
TKT-00392,Looking forward to a quick resolution. Export to CSV feature...,Looking forward to a quick resolution. Export to CSV feature is generating corrupted files intermittently.,Technical,Medium
TKT-00393,Search functionality returns irrelevant results for exact-ma...,Search functionality returns irrelevant results for exact-match queries.,Technical,Medium
TKT-00394,My promo code didn't apply at checkout. Can someone look int...,My promo code didn't apply at checkout. Can someone look into this?,Billing,Medium
TKT-00395,Do you offer any nonprofit pricing or special plans?,Do you offer any nonprofit pricing or special plans?,Billing,Low
TKT-00396,Looking forward to a quick resolution. My credit card was bi...,"Looking forward to a quick resolution. My credit card was billed $500 instead of $50. This is urgent, please fix now!",Billing,High
TKT-00397,Push notifications are delayed by several hours on the mobil...,Push notifications are delayed by several hours on the mobile app.,Technical,Medium
TKT-00398,What new features are planned for the next product release?,What new features are planned for the next product release?,General Inquiry,Medium
TKT-00399,The drag-and-drop feature stopped working in the latest Chro...,The drag-and-drop feature stopped working in the latest Chrome update.,Technical,Medium
TKT-00400,"By the way, Can we get a dedicated account manager for our o...","By the way, Can we get a dedicated account manager for our organization?",General Inquiry,Medium
TKT-00401,What happens to my data if I miss a payment cycle?,What happens to my data if I miss a payment cycle?,Billing,Low
TKT-00402,This is really frustrating. Can you add keyboard shortcuts f...,This is really frustrating. Can you add keyboard shortcuts for the most common actions?,Technical,Low
TKT-00403,"Hello, Can you add an option to sort tickets by creation dat...","Hello, Can you add an option to sort tickets by creation date in ascending order?",Technical,Low
TKT-00404,"By the way, The discount I was promised during sign-up isn't...","By the way, The discount I was promised during sign-up isn't reflected on my bill. Please note: ",Billing,Medium
TKT-00405,"Hi team, Where can I download old receipts from my account?","Hi team, Where can I download old receipts from my account?",Billing,Low
TKT-00406,Multi-factor authentication is broken; I cannot receive any ...,Multi-factor authentication is broken; I cannot receive any verification codes.,Account Access,High
TKT-00407,FYI — Minor typo on the settings page: 'Notifcations' instea...,FYI — Minor typo on the settings page: 'Notifcations' instead of 'Notifications'.,Technical,Low
TKT-00408,Where do I manage email notification preferences?,Where do I manage email notification preferences?,Account Access,Low
TKT-00409,My credit card was billed $500 instead of $50. This is urgen...,"My credit card was billed $500 instead of $50. This is urgent, please fix now!",Billing,High
TKT-00410,Integration with our CRM completely broke after your last de...,Integration with our CRM completely broke after your last deployment. Urgent: ,Technical,High
TKT-00411,"Also, I can log in on mobile but the web app says my credent...","Also, I can log in on mobile but the web app says my credentials are invalid.",Account Access,Medium
TKT-00412,I'm completely locked out after too many failed login attemp...,I'm completely locked out after too many failed login attempts. Please unlock.,Account Access,High
TKT-00413,"Also, My admin privileges were revoked and I can no longer m...","Also, My admin privileges were revoked and I can no longer manage our team.",Account Access,High
TKT-00414,Security vulnerability found. Sensitive customer data may be...,Security vulnerability found. Sensitive customer data may be exposed. Thanks in advance. ,Technical,High
TKT-00415,"My session keeps expiring every few minutes, forcing me to r...","My session keeps expiring every few minutes, forcing me to re-login.",Account Access,Medium
TKT-00416,"By the way, Our contract expires tomorrow and we haven't rec...","By the way, Our contract expires tomorrow and we haven't received the renewal terms yet.",General Inquiry,High
TKT-00417,Minor typo on the settings page: 'Notifcations' instead of '...,Minor typo on the settings page: 'Notifcations' instead of 'Notifications'. Thanks in advance. ,Technical,Low
TKT-00418,FYI — My account has been locked and I cannot reset my passw...,FYI — My account has been locked and I cannot reset my password. Need access now!,Account Access,High
TKT-00419,Please prioritize this. I can log in on mobile but the web a...,Please prioritize this. I can log in on mobile but the web app says my credentials are invalid.,Account Access,Medium
TKT-00420,Appreciate your help. Minor typo on the settings page: 'Noti...,Appreciate your help. Minor typo on the settings page: 'Notifcations' instead of 'Notifications'.,Technical,Low
TKT-00421,File uploads fail silently when the file size exceeds 10 MB.,File uploads fail silently when the file size exceeds 10 MB.,Technical,Medium
TKT-00422,"My session keeps expiring every few minutes, forcing me to r...","My session keeps expiring every few minutes, forcing me to re-login. Hello, ",Account Access,Medium
TKT-00423,Can you provide a comparison between the Pro and Enterprise ...,Can you provide a comparison between the Pro and Enterprise tiers?,General Inquiry,Medium
TKT-00424,Just wanted to say thanks — the new update is really smooth!...,Just wanted to say thanks — the new update is really smooth! Looking forward to a quick resolution. ,General Inquiry,Low
TKT-00425,Need an emergency meeting with your solutions architect befo...,Need an emergency meeting with your solutions architect before our board call.,General Inquiry,High
TKT-00426,Looking forward to a quick resolution. How do I set up autom...,Looking forward to a quick resolution. How do I set up automatic payments for my subscription? Appreciate your help. ,Billing,Low
TKT-00427,"Dear support, Where can I find your community forum or user ...","Dear support, Where can I find your community forum or user group?",General Inquiry,Low
TKT-00428,How do I set up automatic payments for my subscription?,How do I set up automatic payments for my subscription?,Billing,Low
TKT-00429,The SLA breach count has exceeded the threshold. Requesting ...,The SLA breach count has exceeded the threshold. Requesting formal review.,General Inquiry,High
TKT-00430,Unauthorized charge on my account. I did not authorize this ...,Unauthorized charge on my account. I did not authorize this transaction at all.,Billing,High
TKT-00431,Do you have case studies from companies in the healthcare se...,Do you have case studies from companies in the healthcare sector?,General Inquiry,Medium
TKT-00432,What happens to my data if I miss a payment cycle?,What happens to my data if I miss a payment cycle?,Billing,Low
TKT-00433,Would love an option to customize the color theme of the int...,Would love an option to customize the color theme of the interface. Please note: ,Technical,Low
TKT-00434,Urgent: The drag-and-drop feature stopped working in the lat...,Urgent: The drag-and-drop feature stopped working in the latest Chrome update.,Technical,Medium
TKT-00435,Do you have a referral program for existing customers?,Do you have a referral program for existing customers?,General Inquiry,Low
TKT-00436,I changed my email and now I can't verify my identity.,I changed my email and now I can't verify my identity.,Account Access,Medium
TKT-00437,Appreciate your help. What are your customer support hours o...,Appreciate your help. What are your customer support hours on weekends?,General Inquiry,Low
TKT-00438,Password reset link expired instantly. I've tried five times...,Password reset link expired instantly. I've tried five times with no luck.,Account Access,High
TKT-00439,This is really frustrating. Can I get a breakdown of charges...,This is really frustrating. Can I get a breakdown of charges for the last six months? Please prioritize this. ,Billing,Low
TKT-00440,"My session keeps expiring every few minutes, forcing me to r...","My session keeps expiring every few minutes, forcing me to re-login. We've been waiting for days. ",Account Access,Medium
TKT-00441,What are the password complexity requirements?,What are the password complexity requirements?,Account Access,Low
TKT-00442,Where can I download old receipts from my account?,Where can I download old receipts from my account?,Billing,Low
TKT-00443,The entire platform is down and our team cannot access any r...,The entire platform is down and our team cannot access any resources!,Technical,High
TKT-00444,"Hi team, Is there an API rate-limit increase available for o...","Hi team, Is there an API rate-limit increase available for our current plan?",General Inquiry,Medium
TKT-00445,How do I enable two-factor authentication for my account? Th...,How do I enable two-factor authentication for my account? Thanks in advance. ,Account Access,Medium
TKT-00446,How do I set up automatic payments for my subscription?,How do I set up automatic payments for my subscription?,Billing,Low
TKT-00447,I can log in on mobile but the web app says my credentials a...,I can log in on mobile but the web app says my credentials are invalid.,Account Access,Medium
TKT-00448,"Also, File uploads fail silently when the file size exceeds ...","Also, File uploads fail silently when the file size exceeds 10 MB.",Technical,Medium
TKT-00449,Need a copy of my invoice from last quarter for tax purposes...,Need a copy of my invoice from last quarter for tax purposes.,Billing,Medium
TKT-00450,Unauthorized charge on my account. I did not authorize this ...,Unauthorized charge on my account. I did not authorize this transaction at all.,Billing,High
TKT-00451,I see a mysterious charge labeled 'premium upgrade' that I n...,I see a mysterious charge labeled 'premium upgrade' that I never requested. This is really frustrating. ,Billing,High
TKT-00452,Appreciate your help. The dashboard loads very slowly — take...,Appreciate your help. The dashboard loads very slowly — takes over 30 seconds every time.,Technical,Medium
TKT-00453,Would love an option to customize the color theme of the int...,Would love an option to customize the color theme of the interface.,Technical,Low
TKT-00454,Where do I manage email notification preferences? Thanks in ...,Where do I manage email notification preferences? Thanks in advance. ,Account Access,Low
TKT-00455,"By the way, My session keeps expiring every few minutes, for...","By the way, My session keeps expiring every few minutes, forcing me to re-login.",Account Access,Medium
TKT-00456,Where can I read your terms of service and privacy policy?,Where can I read your terms of service and privacy policy?,General Inquiry,Low
TKT-00457,Duplicate billing on invoice #98321. Escalate this immediate...,Duplicate billing on invoice #98321. Escalate this immediately.,Billing,High
TKT-00458,Server returns 500 error on every API call since this mornin...,Server returns 500 error on every API call since this morning. Production blocked.,Technical,High
TKT-00459,Password reset link expired instantly. I've tried five times...,Password reset link expired instantly. I've tried five times with no luck. Looking forward to a quick resolution. ,Account Access,High
TKT-00460,My promo code didn't apply at checkout. Can someone look int...,My promo code didn't apply at checkout. Can someone look into this?,Billing,Medium
TKT-00461,Please note: The entire platform is down and our team cannot...,Please note: The entire platform is down and our team cannot access any resources!,Technical,High
TKT-00462,This is really frustrating. File uploads fail silently when ...,This is really frustrating. File uploads fail silently when the file size exceeds 10 MB.,Technical,Medium
TKT-00463,File uploads fail silently when the file size exceeds 10 MB....,"File uploads fail silently when the file size exceeds 10 MB. By the way, ",Technical,Medium
TKT-00464,Looking forward to a quick resolution. My session keeps expi...,"Looking forward to a quick resolution. My session keeps expiring every few minutes, forcing me to re-login.",Account Access,Medium
TKT-00465,What are your customer support hours on weekends?,What are your customer support hours on weekends?,General Inquiry,Low
TKT-00466,File uploads fail silently when the file size exceeds 10 MB....,File uploads fail silently when the file size exceeds 10 MB. FYI — ,Technical,Medium
TKT-00467,I need to transfer ownership of this account to a colleague.,I need to transfer ownership of this account to a colleague.,Account Access,Medium
TKT-00468,Can you add an option to sort tickets by creation date in as...,Can you add an option to sort tickets by creation date in ascending order?,Technical,Low
TKT-00469,Is there an option to set a profile picture?,Is there an option to set a profile picture?,Account Access,Low
TKT-00470,Our contract expires tomorrow and we haven't received the re...,Our contract expires tomorrow and we haven't received the renewal terms yet.,General Inquiry,High
TKT-00471,It would be nice to have dark mode support in the web app. W...,It would be nice to have dark mode support in the web app. We've been waiting for days. ,Technical,Low
TKT-00472,"Is there an option to set a profile picture? Hello, ","Is there an option to set a profile picture? Hello, ",Account Access,Low
TKT-00473,Please note: Where do I manage email notification preference...,Please note: Where do I manage email notification preferences?,Account Access,Low
TKT-00474,How do I enable two-factor authentication for my account?,How do I enable two-factor authentication for my account?,Account Access,Medium
TKT-00475,"Hi team, Subscription auto-renewed after I explicitly opted ...","Hi team, Subscription auto-renewed after I explicitly opted out. Refund required urgently.",Billing,High
TKT-00476,Subscription auto-renewed after I explicitly opted out. Refu...,Subscription auto-renewed after I explicitly opted out. Refund required urgently.,Billing,High
TKT-00477,"Also, I see a mysterious charge labeled 'premium upgrade' th...","Also, I see a mysterious charge labeled 'premium upgrade' that I never requested.",Billing,High
TKT-00478,"Hello, Our contract expires tomorrow and we haven't received...","Hello, Our contract expires tomorrow and we haven't received the renewal terms yet.",General Inquiry,High
TKT-00479,Where can I find my account ID or customer number? Please pr...,Where can I find my account ID or customer number? Please prioritize this. ,Account Access,Low
TKT-00480,FYI — I forgot my password and the reset email goes to an ol...,FYI — I forgot my password and the reset email goes to an old address.,Account Access,Medium
TKT-00481,Please prioritize this. Can we get a dedicated account manag...,Please prioritize this. Can we get a dedicated account manager for our organization?,General Inquiry,Medium
TKT-00482,Looking forward to a quick resolution. Password reset link e...,Looking forward to a quick resolution. Password reset link expired instantly. I've tried five times with no luck.,Account Access,High
TKT-00483,Thanks in advance. Do you offer any nonprofit pricing or spe...,Thanks in advance. Do you offer any nonprofit pricing or special plans?,Billing,Low
TKT-00484,Is there a student discount available for the premium plan?,Is there a student discount available for the premium plan?,Billing,Low
TKT-00485,Two-factor authentication emails are arriving with a 15-minu...,Two-factor authentication emails are arriving with a 15-minute delay.,Technical,Medium
TKT-00486,"How do I disconnect a linked social media account? Hello, ","How do I disconnect a linked social media account? Hello, ",Account Access,Low
TKT-00487,Please prioritize this. Can I get a breakdown of charges for...,Please prioritize this. Can I get a breakdown of charges for the last six months?,Billing,Low
TKT-00488,Can you explain the extra fee on my latest invoice?,Can you explain the extra fee on my latest invoice?,Billing,Medium
TKT-00489,"By the way, I cancelled my plan last week but was still char...","By the way, I cancelled my plan last week but was still charged the full annual fee today.",Billing,High
TKT-00490,"Also, I forgot my password and the reset email goes to an ol...","Also, I forgot my password and the reset email goes to an old address.",Account Access,Medium
TKT-00491,Integration with our CRM completely broke after your last de...,Integration with our CRM completely broke after your last deployment.,Technical,High
TKT-00492,Please prioritize this. Can I get a breakdown of charges for...,Please prioritize this. Can I get a breakdown of charges for the last six months?,Billing,Low
TKT-00493,Please prioritize this. Minor typo on the settings page: 'No...,Please prioritize this. Minor typo on the settings page: 'Notifcations' instead of 'Notifications'. Looking forward to a quick resolution. ,Technical,Low
TKT-00494,Is there an option to set a profile picture? Thanks in advan...,Is there an option to set a profile picture? Thanks in advance. ,Account Access,Low
TKT-00495,Regulatory audit requires compliance documentation by end of...,Regulatory audit requires compliance documentation by end of day. Please expedite.,General Inquiry,High
TKT-00496,I forgot my password and the reset email goes to an old addr...,I forgot my password and the reset email goes to an old address.,Account Access,Medium
TKT-00497,Can we get a dedicated account manager for our organization?,Can we get a dedicated account manager for our organization?,General Inquiry,Medium
TKT-00498,"Hi team, Password reset link expired instantly. I've tried f...","Hi team, Password reset link expired instantly. I've tried five times with no luck. Thanks in advance. ",Account Access,High
TKT-00499,Can you merge my two accounts into a single one?,Can you merge my two accounts into a single one?,Account Access,Medium
TKT-00500,Are there any upcoming webinars or online events we can join...,Are there any upcoming webinars or online events we can join?,General Inquiry,Low
TKT-00501,How do I disconnect a linked social media account?,How do I disconnect a linked social media account?,Account Access,Low
TKT-00502,Please note: How do I set up automatic payments for my subsc...,Please note: How do I set up automatic payments for my subscription?,Billing,Low
TKT-00503,I want to downgrade my plan. Will I receive a prorated refun...,I want to downgrade my plan. Will I receive a prorated refund? This is really frustrating. ,Billing,Medium
TKT-00504,Looking forward to a quick resolution. The entire platform i...,Looking forward to a quick resolution. The entire platform is down and our team cannot access any resources!,Technical,High
TKT-00505,Hoping someone can assist. My credit card was billed $500 in...,"Hoping someone can assist. My credit card was billed $500 instead of $50. This is urgent, please fix now!",Billing,High
TKT-00506,Is there an API rate-limit increase available for our curren...,Is there an API rate-limit increase available for our current plan?,General Inquiry,Medium
TKT-00507,Would love an option to customize the color theme of the int...,Would love an option to customize the color theme of the interface. Please prioritize this. ,Technical,Low
